L.P.,Data,Miejsce,B (WGS84),L (WGS84),Wymiar poziomy,G??boko??,Informacje dodatkowe,Przyczyna
1,25-01-2024,Trzebinia torowisko pomiedzy hektometrami 1.5-1.6,"50,19574","19,44715","4,9 x 3,5 m","0,8 m",Torowisko,By?ly OG KWK Siersza. Pok?ad 209-210 wegiel kam.
2,29-01-2024,"Trzebinia, Grunwaldzka 4","50,174661","19,471974","2,1 x 1,3 m","1,1 m",Nieuzytki,By?ly OG KWK Siersza. Pok?ad 209-210 wegiel kam.
3,01-02-2024,"Chrzanow, Kolonia Rospontowa","50,12483","19,39658","fi 2,5 m","0,5 m",Garaze,Pole gornicze sprzed 1939r. Z?o?e rud Zn-Pb
4,07-03-2024,"Trzebinia,  Kopalniana","50,195249","19,449615",fi 9m,6 m,Nieuzytki,By?ly OG KWK Siersza. Pok?ad 209-210 wegiel kam.
5,20-03-2024,"Bedzin, Swierkowa 4","50,35645","19,1425334",fi 2 m,"0,4 m","Teren zabudowy  jedno-rodzinnej, blisko domu","By?y OG KWK Pary? Kop. Antoni, Szyb Elzbieta. wegiel kam."
6,10.04.2024,"Katowice, ul. Cisowa /Owocowa, przy wjezdzie do OBKiS","50,277478","19,02339","4,9 x 3,5 m","0,8 m",Szyb historyczny,By?y OG KWK Siemianowice (kop. Hohenlohe). Rejon zlikwidowanego szybu Park
7,15.04.2024,"Katowice, ul. Cedrowa, przy wschodniej granicy parkingu","50,277422","19,030169","2,1 x 1,3 m","1,1 m",Szyb historyczny,By?y OG KWK Siemianowice (kop. Hohenlohe). Rejon zlikwidowanego szybu.
8,16.10.2024,Siemianowice Slaskie ul. Kasztanowa 10,"50,295062","19,017768","0,6 x 0,6 m","0,5 m",3 zapadliska w promieniu 15m.,By?y OG KWK Siemianowice -pole rezerwowe (hist. kop. Hohenlohe)
9,16.11.2024,Piekary Slaskie Brzeziny ul. Komunardow,"50,355096","18,983465",1 x 2 m,"ok. 0,5 m",Nieuzytki,Byl?y OG ZGH Orzel? Bial?y
10,16.11.2024,Piekary Slaskie Brzeziny ul. Komunardow,"50,354475","18,984484",1 x 2 m,"ok. 0,5 m",Nieuzytki,Byl?y OG ZGH Orzel? Bial?y
11,16.11.2024,Piekary Slaskie Brzeziny ul. Komunardow,"50,355037","18,983393",1 x 1 m,"ok. 0,5 m",Nieuzytki,Byl?y OG ZGH Orzel? Bial?y
12,8.12.2024,"Jaworzno, ul. Martyniakow",50.295116,19.018030,14 x 12 m,ok. 6-7 m,Teren le?sny,By?ly OG KWK Jaworzno p. 208 wegiel kam.
